"ResponseId","narrative","interactivity","vis","uptime","interactions","correct","size"
"R_07XJAt7qPKrEuyZ","True","False","us-healthcare",182.764,0,7,11
"R_0AgtvRLLBcqolkl","True","True","us-healthcare",207.89,12,9,11
"R_0GLsMGInNQSmjWp","True","True","carbon-clock",164.708,1,8,11
"R_0j2B3HDam88oBHz","False","True","carbon-clock",142.307,7,7,11
"R_0UtYpGD8fWKjuSd","True","False","us-healthcare",172.946,0,4,11
"R_10ABj5LdsRFs8Vw","False","False","measles",150.176,0,4,11
"R_10IBLYvqe8TBQae","True","False","us-healthcare",63.626,0,8,11
"R_10IyRYHOJquB5sP","False","True","measles",282.8,13,6,11
"R_10MJGcAirJZYs4K","False","False","carbon-clock",26.973,0,6,11
"R_10O9Gz7oPZXSItz","True","True","gun-deaths",263.261,4,7,11
"R_11gBituTUvkIW2S","False","True","carbon-clock",152.456,11,8,11
"R_124hkOeaj5ioDn0","False","False","gun-deaths",18.488,0,6,11
"R_12DTCy2rXK6lw0o","False","False","gun-deaths",344.828,0,4,11
"R_1BPcyrq0i8V3uTC","True","False","carbon-clock",184.779,0,9,11
"R_1C3mBxqYFCrdqfD","True","False","measles",100.209,0,9,11
"R_1CeFPM47MVPGQmx","True","False","gun-deaths",147.86,0,7,11
"R_1cUMaMEmfgLnWK5","True","False","carbon-clock",22.007,0,6,11
"R_1CvZRaW3jJeWxs5","False","False","carbon-clock",79.814,0,9,11
"R_1dFCltswyhA0Vfl","False","False","measles",95.754,0,6,11
"R_1dgcjfDrtEfZhvN","False","True","gun-deaths",106.281,11,6,11
"R_1DuICs9mdcaGBzS","False","False","carbon-clock",41.996,0,6,11
"R_1duleHpEfRhtvlv","True","True","gun-deaths",52.492,0,6,11
"R_1E0OhRNAk8pshCQ","False","True","carbon-clock",58.55,3,6,11
"R_1E50n5FDDagtZ3y","False","True","measles",255.979,20,9,11
"R_1EbaXuP8jP8IAZP","True","True","carbon-clock",134.78,0,7,11
"R_1eElaiFANSx6Ga1","False","False","gun-deaths",267.235,0,4,11
"R_1f40NLUET7xzPHB","False","False","us-healthcare",178.666,0,4,11
"R_1F9rFbViSodSZPI","False","True","us-healthcare",30.539,0,4,11
"R_1FlyWc4PzwE7Gje","False","False","gun-deaths",112.945,0,7,11
"R_1FwUIOAswC4eeBu","False","False","carbon-clock",10.693,0,7,11
"R_1g62exrXa41DH4d","False","False","us-healthcare",176.972,0,7,11
"R_1gHMsIadndghVuZ","True","True","gun-deaths",108.46,9,7,11
"R_1ghW6xbrkn33Mal","False","False","us-healthcare",566.21,0,4,11
"R_1gkDP4VyaqH2fAB","False","False","measles",83.626,0,4,11
"R_1gTL140vHKNEoZE","False","True","us-healthcare",258.957,15,7,11
"R_1gvFQtPBXd4UO2h","False","True","gun-deaths",394.255,42,6,11
"R_1GWxMPoJWsRLtHK","True","False","gun-deaths",214.624,0,7,11
"R_1gzRNEHOr9TnDSP","False","False","carbon-clock",10.693,0,8,11
"R_1H2Dd7XgmA4wiBf","False","True","carbon-clock",96.707,4,6,11
"R_1H81l9krcVAD8LM","False","False","carbon-clock",205.277,0,8,11
"R_1HcR6HDTB3cPNpP","True","True","gun-deaths",404.457,15,4,11
"R_1hHbfD1xNLuGbAx","False","True","carbon-clock",129.605,6,4,11
"R_1Hk7Kx29mUnAlVj","True","True","us-healthcare",110.787,12,6,11
"R_1HqJLtEczMxVtcF","True","False","us-healthcare",123.762,0,4,11
"R_1hyYpsIX9NmMkuD","False","True","measles",127.36,2,4,11
"R_1I4bVfMK33dfMPD","True","True","us-healthcare",200.372,26,4,11
"R_1ibclsJGV6m9DJ0","False","False","carbon-clock",100.106,0,8,11
"R_1IiWkSONeFTczm8","True","True","carbon-clock",35.591,1,6,11
"R_1IizsQrIZ3MXWfs","False","False","gun-deaths",102.165,0,7,11
"R_1IMzWDAWv8ZCJsB","True","True","us-healthcare",100.886,5,6,11
"R_1Injx8EC13pR1CG","True","True","carbon-clock",277.774,4,7,11
"R_1INmlt6nb5xeaeZ","False","False","us-healthcare",83.198,0,4,11
"R_1Iozfe4P2CkRUeU","False","True","us-healthcare",285.817,16,9,11
"R_1ItKZ3qNl89aBDZ","False","True","measles",332.079,10,7,11
"R_1Ittt7vsSyi6VAs","False","True","carbon-clock",84.72,0,4,11
"R_1IyCkpCA9BnuS5K","False","True","gun-deaths",74.492,5,4,11
"R_1jDIZEWyqzETzmw","True","False","gun-deaths",877.675,0,8,11
"R_1jEe1dCDjWNcZxc","False","True","gun-deaths",149.438,23,7,11
"R_1jILlPyS6USnXUY","True","True","measles",208.997,2,7,11
"R_1jN6iTkP1tgHkmp","True","False","measles",90.618,0,9,11
"R_1jVrwZr38HowRfR","False","False","gun-deaths",27.579,0,7,11
"R_1KcXx7iqRJBgiie","False","False","us-healthcare",61.367,0,9,11
"R_1kYO6WBKMAfGbCT","True","True","gun-deaths",1141.18,32,6,11
"R_1LcmUi1ly3uuGgi","True","True","us-healthcare",153.984,10,8,11
"R_1LMsEILp6yTK6G5","False","False","measles",186.752,0,9,11
"R_1LUsRX6VhT1cGLB","True","False","gun-deaths",294.865,0,3,11
"R_1LvXSGVRhAkGFCa","True","False","measles",500.05,0,4,11
"R_1LYHixwIJccy6Oj","False","False","carbon-clock",182.929,0,7,11
"R_1mg5FsKsjmWuNbl","False","False","measles",112.968,0,7,11
"R_1MK7UKFoxGPB5QZ","True","False","measles",243.349,0,7,11
"R_1MWXKGnoxIx77yG","True","False","measles",198.586,0,10,11
"R_1NeSNh2h5YJTrBu","True","True","us-healthcare",127.951,2,8,11
"R_1OAXGxdZGdtfycI","True","False","us-healthcare",155.464,0,9,11
"R_1oFLw4VDgHXD02T","True","True","gun-deaths",193.318,0,8,11
