un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
9,story,us-healthcare,29.408,0.864,2,0,0
11,none,us-healthcare,60.767,51.559,0,0,0
8,all,us-healthcare,112.314,1.635,3,1,0
14,int,measles,119.086,101.494,120,9,0
17,story,carbon-clock,128.578,17.922,126,0,0
46,int,measles,79.542,14.944,1,1,0
53,story,gun-deaths,100.241,87.191,0,0,0
38,int,gun-deaths,160.414,4.164,0,19,0
21,story,gun-deaths,139.098,119.148,0,0,0
50,int,carbon-clock,120.478,89.187,1065,3,149
83,int,us-healthcare,5.087,0.112,0,0,0
50,int,carbon-clock,148.727,101.733,1274,4,151
28,all,measles,234.332,121.265,0,3,0
10,int,us-healthcare,249.826,91.872,291,30,0
79,int,gun-deaths,44.007,0.154,0,4,0
4,all,gun-deaths,263.261,161.013,0,4,0
69,all,measles,179.5,165.186,0,1,0
54,int,gun-deaths,2.591,1.632,0,0,0
88,none,measles,41.143,26.763,0,0,0
73,all,carbon-clock,124.713,98.608,1,0,2
75,int,carbon-clock,4.886,0.808,7,0,0
55,int,gun-deaths,4.746,0.982,0,0,0
92,none,carbon-clock,122.407,0.165,0,0,0
86,story,measles,90.618,61.841,0,0,0
73,all,carbon-clock,164.923,107.81,97,0,40
58,int,us-healthcare,285.817,190.771,156,16,0
5,story,gun-deaths,184.226,134.877,0,0,0
92,none,carbon-clock,5.177,0.066,0,0,0
54,int,gun-deaths,3.627,0,0,0,0
100,none,us-healthcare,101.064,52.56,0,0,0
80,none,gun-deaths,344.828,325.094,0,0,0
44,all,measles,413.468,174.924,0,3,0
73,all,carbon-clock,24.363,0.307,6,0,0
96,none,gun-deaths,267.235,32.592,0,0,0
130,int,us-healthcare,30.539,7.923,23,0,0
118,story,measles,173.685,116.302,0,0,0
43,none,us-healthcare,447.24,104.495,0,0,0
147,none,us-healthcare,7.06,1.38,0,0,0
65,all,us-healthcare,200.372,44.577,43,26,0
74,story,carbon-clock,121.928,55.517,159,0,0
142,int,gun-deaths,118.925,0.616,0,19,0
152,all,carbon-clock,35.591,25.37,284,1,4
155,none,carbon-clock,31.185,2.54,0,0,0
120,none,measles,277.432,165.189,0,0,0
139,none,carbon-clock,182.929,106.436,0,0,0
144,all,us-healthcare,225.628,107.028,22,18,0
153,story,carbon-clock,137.248,60.278,2,0,0
160,all,us-healthcare,100.886,95.723,2,5,0
87,int,measles,502.388,334.902,416,17,0
166,int,measles,97.376,16.632,1,1,0
150,int,measles,255.979,203.989,220,20,0
168,all,carbon-clock,93.816,0,0,3,8
170,int,carbon-clock,84.72,25.233,70,0,103
181,none,carbon-clock,34.52,18.347,0,0,0
113,all,us-healthcare,327.032,129.46,146,52,0
127,int,gun-deaths,101.073,4.41,0,3,0
185,none,gun-deaths,77.657,0,0,0,0
183,story,gun-deaths,94.68,10.248,0,0,0
193,none,measles,83.626,37.678,0,0,0
194,all,carbon-clock,72.908,51.71,8,0,4
178,all,carbon-clock,243.099,24.299,172,4,149
165,story,measles,209.879,195.254,0,0,0
198,all,gun-deaths,120.803,16.437,0,5,0
199,story,gun-deaths,125.176,96.191,0,0,0
165,story,measles,284.748,195.254,0,0,0
165,story,measles,312.303,198.61,0,0,0
200,int,gun-deaths,103.859,1.848,0,11,0
203,story,us-healthcare,144.499,140.249,21,0,0
184,int,gun-deaths,394.255,7.812,0,42,0
165,story,measles,398.233,199.128,0,0,0
165,story,measles,414.111,208.523,0,0,0
165,story,measles,427.173,216.925,0,0,0
207,story,measles,189.05,104.495,0,0,0
220,int,us-healthcare,115.489,57.852,158,18,0
204,int,us-healthcare,393.962,239.418,84,0,0
214,all,gun-deaths,269.189,110.651,0,0,0
211,story,carbon-clock,348.866,317.577,1286,0,0
223,story,measles,180.215,53.851,0,0,0
224,story,us-healthcare,182.764,24.851,0,0,0
124,none,carbon-clock,125.146,11.341,0,0,0
232,story,carbon-clock,99.512,0,0,0,0
208,int,measles,593.264,336.041,327,27,0
228,story,measles,203.1,120.684,0,0,0
