StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID41_1,QID41_2,QID41_3,QID41_4,QID41_5,QID41_6,QID41_7,QID41_8,QID41_9,QID41_10,QID41_11,QID45_1,QID45_2,QID45_3,QID45_4,QID45_5,QID45_6,QID45_7,QID45_8,QID45_9,QID45_10,QID45_11,QID42_1,QID42_2,QID42_3,QID42_4,QID42_5,QID42_6,QID42_7,QID42_8,QID42_9,QID42_10,QID42_11,QID44_1,QID44_2,QID44_3,QID44_4,QID44_5,QID44_6,QID44_7,QID44_8,QID44_9,QID44_10,QID44_11,condition,vis,userID,un
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - 40% (rounded to the nearest integer) of the expenditure for people in the US is on voluntary health insurance","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Among the countries shown, the US is among the 5 highest for the most number of Infant mortality per 1,000 live births","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The US has the highest drug-related deaths per million people","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Italy ranks among the top 10 in all except one of the dimensions","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Denmark, Sweden, Norway and Finland are among the top 15 countries in terms of Government spending on health care as a percentage of the total expenditure on healthcare.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The per-capita spending on health care for people in the US spend is approximately equal to that for people in Japan","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Among the 35 OECD countries, the rank of the US in terms of life expectancy is in the top 25","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The US ranks in the top 10 for compare in terms of percentage government spending on healthcare","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - US has one of the lowest per-capita spending on pharmaceuticals (prescription medicines and over-the-counter products)","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Japan has the lowest number Suicides per 100,000 population","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Per-capita cost of healthcare for the US is the least among all the 35 OECD countries shown","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The atmospheric CO2 levels increased linearly by approximately 90ppm over the course of the past 60 years (1958 - present)","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Based on current trends, we cannot expect the atmospheric CO2 levels to fall back to the levels they were in the 1950s.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The average atmospheric levels for the past 12,000 years is significantly less than the average atmospheric CO2 levels for the past 60 years","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Based on current trend, 3 years from now, the average atmospheric CO2 levels would be 412ppm","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Before the industrial age, the maximum CO2 level in the past 12,000 years was approximately 285ppm","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The CO2 level increases between June and September of every year","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The fluctuations that are observed in atmospheric CO2 levels which result in the cyclical patterns are due to measurement error","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The annual fluctuations (the fall and rise)  of atmospheric CO2 observed is of the order of 10ppm","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - When the U.S. first started measuring atmospheric CO2 levels in 1958, it stood at 332ppm","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The current increase in CO2 levels can be accounted for through the usual fluctuations that have been observed over the past 800,000 years.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The graphic showed the amount of Carbon Dioxide in the planet Mars's water bodies - oceans, seas and rivers - has been increasing.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Most victims of suicides are Males who are above 35 years old","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Most homicide victims are Young males","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The proportion of male deaths by homicides compared to the total number of deaths by homicide is approximately 85%","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Compared to the proportion of Older Males in the US population, the number of deaths by Suicides for this demographic group are disproportionately more.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Compared to the proportion of Black people in the US population, the number of deaths by homicides for this demographic group are disproportionately less.","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Most suicide victims are White males","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Black and Hispanic people are more likely to die from Homicides than Suicides","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Homicides are the most common type of death from gun violence for the year 2014","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - There are more older black males than younger black males who are victims of homicides","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The proportion of female deaths by Suicide compared to the total number of deaths by suicides is approximately 28%","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - None of the deaths shown in the graphic were caused by an incident which involved a gun","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - For an unvaccinated person, the chances of getting infected with measles if they come into contact with an infected person is at least 90%","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Jackson, FL with a vaccination rate of 95%, will most likely be safe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Fairfax, VA with a vaccination rate of 87%, will most likely be unsafe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Even in a community with a high vaccination rate, measles can still spread within pockets of unvaccinated people","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - In a community with a high vaccination rate measles fails to propagate within the community since most members of the community are vaccinated","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - The desired minimum vaccination rate for a community to safeguard against measles is 80%","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Orange County, CA with a vaccination rate of 92%, will most likely be safe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - If a person is vaccinated against measles, there is absolutely no chance of vaccine failure","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - A single dose of the measles vaccine is just as effective as two doses","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Everyone can be given the measles vaccine immediately after they are born","Please answer the following True or False questions, which are based on the visualization you were shown. You will receive $0.20 for every correct answer.
Please do not attempt to go back to the visualization or else you will not receive any compensation for your participation and your results will be discarded. - Measles is not an infectious disease, so there is no chance that it would spread from an infected person to a healthy but unvaccinated person.",condition,vis,userID,un
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41_6""}","{""ImportId"":""QID41_7""}","{""ImportId"":""QID41_8""}","{""ImportId"":""QID41_10""}","{""ImportId"":""QID41_11""}","{""ImportId"":""QID41_12""}","{""ImportId"":""QID41_13""}","{""ImportId"":""QID41_14""}","{""ImportId"":""QID41_15""}","{""ImportId"":""QID41_16""}","{""ImportId"":""QID41_17""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_6""}","{""ImportId"":""QID45_7""}","{""ImportId"":""QID45_8""}","{""ImportId"":""QID45_9""}","{""ImportId"":""QID45_10""}","{""ImportId"":""QID45_11""}","{""ImportId"":""QID45_12""}","{""ImportId"":""QID45_13""}","{""ImportId"":""QID45_14""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_6""}","{""ImportId"":""QID42_7""}","{""ImportId"":""QID42_8""}","{""ImportId"":""QID42_9""}","{""ImportId"":""QID42_10""}","{""ImportId"":""QID42_11""}","{""ImportId"":""QID42_12""}","{""ImportId"":""QID42_13""}","{""ImportId"":""QID42_15""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_9""}","{""ImportId"":""QID44_10""}","{""ImportId"":""QID44_11""}","{""ImportId"":""QID44_12""}","{""ImportId"":""QID44_13""}","{""ImportId"":""QID44_14""}","{""ImportId"":""QID44_15""}","{""ImportId"":""QID44_16""}","{""ImportId"":""condition""}","{""ImportId"":""vis""}","{""ImportId"":""userID""}","{""ImportId"":""un""}"
3/25/18 12:30,3/25/18 12:32,IP Address,69.68.68.42,100,90,TRUE,3/25/18 12:32,R_2RVcZBHHPokF10E,,,,,36.15020752,-76.84459686,anonymous,EN,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,us-healthcare,038f1d4b-ea35-4df1-99ff-d75c1b0e1999,11
3/25/18 12:32,3/25/18 12:32,IP Address,199.231.73.230,100,27,TRUE,3/25/18 12:32,R_u9rfFLBM9EqqXmh,,,,,40.81669617,-89.86029816,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,story,gun-deaths,9c19105e-b7dc-43cd-a767-4b50e928b15c,37
3/25/18 12:32,3/25/18 12:33,IP Address,98.216.225.21,100,71,TRUE,3/25/18 12:33,R_33l3BYQ4NGILn8H,,,,,42.06469727,-70.79859924,anonymous,EN,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,story,us-healthcare,40d82c2d-13c8-487d-959b-c3ebc9382092,41
3/25/18 12:32,3/25/18 12:33,IP Address,23.95.230.117,100,31,TRUE,3/25/18 12:33,R_3jVWrvUiGlz3RQ8,,,,,42.88839722,-78.87609863,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,int,measles,6c9431a1-2d59-4a38-9868-464f68cfec12,62
3/25/18 12:32,3/25/18 12:33,IP Address,69.143.166.95,100,83,TRUE,3/25/18 12:33,R_2EGZIRix8kCXYTm,,,,,39.28199768,-76.69490051,anonymous,EN,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,story,carbon-clock,b0598740-4397-483e-85ff-f55d04e935cb,17
3/25/18 12:31,3/25/18 12:34,IP Address,75.118.6.234,100,122,TRUE,3/25/18 12:34,R_21h1da5i4nOwSVI,,,,,40.02310181,-83.18099976,anonymous,EN,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,us-healthcare,888a1bd0-84fc-4d57-9fbc-58fdb748b075,8
3/25/18 12:33,3/25/18 12:34,IP Address,23.118.225.159,100,57,TRUE,3/25/18 12:34,R_31n01LEnXmNmidu,,,,,30.00280762,-95.39630127,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,story,gun-deaths,1c397156-9672-4375-b604-be4ee7847816,53
3/25/18 12:32,3/25/18 12:34,IP Address,174.22.165.20,100,108,TRUE,3/25/18 12:34,R_25zlCgbSrBxriba,,,,,38.90480042,-104.7016983,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,story,measles,110cd14a-a78c-40d2-a584-8b5e48d3b4df,29
