year,interpolated,sigma_mean_CO2,trend,fluctuation,date
0,405.14,0,407.22,-1,Oct-17
-0.09,403.64,0,407.03,1,Sep-17
-0.17,403.38,0,406.93,1,Aug-17
-0.26,405.07,0,406.94,1,Jul-17
-0.34,407.07,0,406.65,1,Jun-17
-0.42,408.84,0,406.51,-1,May-17
-0.5,409.65,0,406.24,-1,Apr-17
-0.59,409,0,406.1,-1,Mar-17
-0.67,407.18,0,405.61,-1,Feb-17
-0.76,406.42,0,405.61,-1,Jan-17
-0.84,406.13,0,405.89,-1,Dec-17
-0.92,404.42,0,405.2,-1,Nov-16
-1,403.53,0,405.62,-1,Oct-16
-1.09,401.57,0,404.95,1,Sep-16
-1.17,401.03,0,404.57,1,Aug-16
-1.26,402.25,0,404.13,1,Jul-16
-1.34,404.39,0,403.97,1,Jun-16
-1.42,406.81,0,404.48,1,May-16
-1.5,407.7,0,404.3,1,Apr-16
-1.59,407.42,0,404.52,1,Mar-16
-1.67,404.83,0,403.26,1,Feb-16
-1.76,404.04,0,403.22,1,Jan-16
-1.84,402.52,0,402.28,1,Dec-16
-1.92,401.85,0,402.63,1,Nov-15
-2,400.16,0,402.24,1,Oct-15
-2.09,398.29,0,401.67,1,Sep-15
-2.17,397.63,0,401.18,1,Aug-15
-2.26,398.93,0,400.81,1,Jul-15
-2.34,401.31,0,400.89,1,Jun-15
-2.42,402.8,0,400.47,-1,May-15
-2.5,403.96,0,400.55,-1,Apr-15
-2.59,403.28,0,400.38,-1,Mar-15
-2.67,401.54,0,399.97,-1,Feb-15
-2.76,400.28,0,399.47,-1,Jan-15
-2.84,399.98,0,399.74,-1,Dec-15
-2.92,398.91,0,399.69,-1,Nov-14
-3,397.28,0,399.36,-1,Oct-14
-3.09,396.03,0,399.41,1,Sep-14
-3.17,395.38,0,398.93,1,Aug-14
-3.26,397.03,0,398.91,1,Jul-14
-3.34,399.1,0,398.69,1,Jun-14
-3.42,401.25,0,398.93,1,May-14
-3.5,401.78,0,398.37,1,Apr-14
-3.59,401.38,0,398.48,1,Mar-14
-3.67,399.77,0,398.19,1,Feb-14
-3.76,398.01,0,397.2,1,Jan-14
-3.84,397.85,0,397.61,1,Dec-14
-3.92,396.84,0,397.59,1,Nov-13
-4,395.16,0,397.14,1,Oct-13
-4.09,393.7,0,397.04,1,Sep-13
-4.17,393.45,0,396.99,1,Aug-13
-4.26,395.2,0,397.08,1,Jul-13
-4.34,397.32,0,396.92,1,Jun-13
-4.42,398.61,0,396.28,-1,May-13
-4.5,399.78,0,396.4,-1,Apr-13
-4.59,398.41,0,395.53,-1,Mar-13
-4.67,397.43,0,395.85,-1,Feb-13
-4.76,396.8,0,396.02,-1,Jan-13
-4.84,395.55,0,395.4,-1,Dec-13
-4.92,394.34,0,395.04,-1,Nov-12
-5,392.98,0,395.02,-1,Oct-12
-5.09,391.05,0,394.41,1,Sep-12
-5.17,391.11,0,394.54,1,Aug-12
-5.26,392.39,0,394.17,1,Jul-12
-5.34,394.36,0,393.92,1,Jun-12
-5.42,395.71,0,393.45,1,May-12
-5.5,396.74,0,393.54,1,Apr-12
-5.59,396.18,0,393.43,1,Mar-12
-5.67,394.4,0,392.8,1,Feb-12
-5.76,393.86,0,393.04,1,Jan-12
-5.84,393.12,0,392.89,1,Dec-12
-5.92,391.86,0,392.66,1,Nov-11
-6,390.28,0,392.44,1,Oct-11
-6.09,389,0,392.33,1,Sep-11
-6.17,389.08,0,392.4,1,Aug-11
-6.26,390.13,0,391.83,1,Jul-11
-6.34,392.51,0,392.04,1,Jun-11
-6.42,393.73,0,391.44,-1,May-11
-6.5,394.19,0,391.02,-1,Apr-11
-6.59,393.25,0,390.63,-1,Mar-11
-6.67,392.6,0,391.07,-1,Feb-11
-6.76,391.86,0,390.94,-1,Jan-11
-6.84,391.33,0,391.03,-1,Dec-11
-6.92,389.79,0,390.6,-1,Nov-10
-7,388.67,0,390.79,-1,Oct-10
-7.09,387.24,0,390.53,1,Sep-10
-7.17,386.85,0,390.14,1,Aug-10
-7.26,388.35,0,390.01,1,Jul-10
-7.34,390.2,0,389.72,1,Jun-10
-7.42,392.15,0,389.89,1,May-10
-7.5,393,0,389.88,1,Apr-10
-7.59,392.46,0,389.89,1,Mar-10
-7.67,391.17,0,389.65,1,Feb-10
-7.76,390.2,0,389.26,1,Jan-10
-7.84,388.71,0,388.41,1,Dec-10
-7.92,387.42,0,388.23,1,Nov-09
-8,386.02,0,388.16,1,Oct-09
-8.09,384.43,0,387.68,1,Sep-09
-8.17,384.74,0,388.01,1,Aug-09
-8.26,386.11,0,387.8,1,Jul-09
-8.34,388.03,0,387.55,1,Jun-09
-8.42,389.48,0,387.24,-1,May-09
-8.5,390.14,0,387.02,-1,Apr-09
-8.59,389.55,0,386.92,-1,Mar-09
-8.67,388.82,0,387.32,-1,Feb-09
-8.76,387.48,0,386.59,-1,Jan-09
-8.84,386.94,0,386.63,-1,Dec-09
-8.92,385.56,0,386.41,-1,Nov-08
-9,384.19,0,386.37,-1,Oct-08
-9.09,382.99,0,386.27,1,Sep-08
