x,y
156.49,150.06
139.83,160.28
152.34,131.14
161.79,168.69
128.68,144.3
171.03,136.98
145.13,179.03
133.78,125.34
176.83,156.28
120.37,162.76
166.62,117.95
162.27,188.17
114.92,130.39
190.01,141.8
125.9,182.18
147.43,111.37
179.62,176.98
106.76,148.65
185.52,122.69
145.88,198.67
119.89,111.5
195.99,160.44
106.99,177.25
162.87,98.84
177.93,199.68
95.48,132.03
204.22,128.31
126.57,201.74
132.86,96.84
199.95,179.63
92.7,163.89
181.83,103.48
161.58,210.32
100.38,113.14
210.23,146.98
107.6,196.8
148.76,85.37
197.39,199.08
82.9,146.91
200.61,109.08
139.82,217.33
111.91,93.6
214.6,166.6
88.41,183.56
174.13,82.8
179.33,219.21
81.44,118.38
223.77,128.18
113.05,215.9
131.1,77.01
215.78,192.58
72.97,163.72
196.87,89.83
155.58,228.97
92.25,95.31
229.19,151.95
89.09,203.25
159.93,69.3
198.9,218.58
68.81,133.34
220.2,108.92
125.66,230.88
111.78,74
229.8,178.96
68.83,182.85
190.08,71.43
173.12,237.77
73.36,100.54
242.14,134.98
94.51,222.2
142.22,60.91
217.39,212.08
58.81,150.2
216.48,89.66
141.42,242.52
92.27,75.71
243.7,165.18
69.51,202.42
175.87,57.91
192.7,237.17
60.71,115.49
238.71,115.46
107.11,237.2
122.87,57.86
233.9,200.13
54.2,169.44
209.68,71.28
158.94,251.29
73.38,80.95
255.38,149.43
74.94,221.26
158.16,49.5
213.36,231.82
49.21,132.89
235.08,96.16
123.46,250.36
100.7,57.81
248.4,185.22
51.96,192.87
194.67,52.37
