1,United States,78.8,5.8,14.0,13.6,245.8,12.6,38.2,10.8
2,Switzerland,83.0,3.9,5.0,8.7,24.2,10.7,10.3,6.1
3,Luxembourg,82.4,2.8,10.0,9.7,20.7,8.5,22.6,4.7
4,Norway,82.4,2.3,5.0,9.6,78.4,9.3,12.0,6.0
5,Germany,80.7,3.3,6.0,12.0,19.3,9.1,23.6,7.4
6,Ireland,81.5,3.4,8.0,10.3,70.8,11.1,23.0,4.4
7,Sweden,82.3,2.5,4.0,9.1,124.5,12.7,12.3,4.7
8,Netherlands,81.6,3.3,7.0,11.0,11.1,9.4,12.8,5.5
9,Austria,81.3,3.1,4.0,11.2,27.1,11.7,14.7,6.9
10,Denmark,80.8,3.7,6.0,11.6,72.3,9.1,14.9,7.2
11,Belgium,81.1,3.3,7.0,11.6,9.9,16.1,18.6,5.1
12,Australia,82.5,3.2,6.0,8.9,116.2,10.4,27.9,5.1
13,Canada,81.7,4.8,7.0,9.8,104.5,10.4,25.8,7.4
14,France,82.4,3.8,8.0,10.9,3.6,12.3,15.3,5.3
15,Japan,83.9,2.1,5.0,8.8,NA,15.4,3.7,5.7
16,Iceland,82.5,2.2,3.0,8.3,221.2,11.8,19.0,6.1
17,United Kingdom,81.0,3.9,9.0,11.0,66.7,7.4,26.9,4.7
18,Finland,81.6,1.7,3.0,10.1,77.8,14.2,24.8,6.0
19,New Zealand,81.7,5.0,11.0,10.4,26.7,12.3,30.7,7.3
20,Italy,82.6,2.9,4.0,9.4,8.0,5.4,9.8,5.1
21,Spain,83.0,2.7,5.0,10.0,36.6,6.0,16.7,7.7
22,Slovenia,80.9,1.6,9.0,13.2,20.0,15.0,19.2,7.8
23,Israel,82.1,3.1,5.0,9.5,11.9,5.4,17.8,7.5
24,Portugal,81.2,2.9,10.0,11.3,5.4,8.5,16.6,9.9
25,South Korea,82.1,2.7,11.0,8.3,0.1,24.1,5.3,7.2
26,Czech Republic,78.7,2.5,4.0,15.6,4.9,10.6,21.0,7.4
27,Greece,81.1,4.0,3.0,12.3,3.7,3.2,17.0,5.2
28,Slovakia,76.7,5.1,6.0,17.6,12.5,9.9,16.3,7.8
29,Hungary,75.7,4.2,17.0,22.9,3.8,15.7,30.0,7.3
30,Estonia,77.7,2.5,9.0,17.2,102.9,14.9,18.0,4.4
31,Chile,79.1,7.2,22.0,11.5,NA,9.1,25.1,10.0
32,Poland,77.6,4.0,3.0,18.4,10.3,18.5,16.7,6.2
33,Latvia,74.6,4.1,18.0,22.9,13.9,17.4,21.3,5.4
34,Turkey,78.0,10.7,16.0,16.8,9.6,8.6,22.3,12.8
35,Mexico,75.0,12.5,38.0,15.2,4.5,5.0,32.4,15.8
